USER_DATA7,USER_DATA8,USER_DATA9,USER_DATA10,USER_DATA11,USER_DATA12,USER_DATA13,USER_DATA14,USER_DATA15,Angle_ROL,Angle_PIT,Angle_YAW
0,2,0,-211,53,8171,-80,-13,125,0.129999995,-1.960000038,-171.75
0,0,0,-201,48,8170,-88,-11,121,0.119999997,-1.99000001,-171.7599945
0,1,0,-289,16,8183,-93,-6,124,0.129999995,-2.00999999,-171.7700043
0,0,0,-386,32,8199,-86,-17,121,0.140000001,-1.99000001,-171.7599945
0,0,0,-418,41,8201,-86,-11,121,0.140000001,-1.970000029,-171.75
0,0,0,-334,33,8195,-85,-6,120,0.129999995,-1.960000038,-171.7400055
0,0,0,-246,36,8182,-81,-8,126,0.129999995,-1.960000038,-171.75
0,0,1,-214,33,8164,-93,-9,127,0.119999997,-1.950000048,-171.7599945
0,0,0,-250,36,8174,-90,-15,128,0.129999995,-1.950000048,-171.7599945
0,1,0,-320,28,8200,-86,-5,129,0.140000001,-1.970000029,-171.7700043
0,0,0,-384,27,8209,-84,-7,127,0.140000001,-1.950000048,-171.7700043
0,-1,0,-341,37,8186,-82,-5,117,0.140000001,-1.929999948,-171.7799988
0,0,1,-279,33,8188,-83,-8,120,0.140000001,-1.929999948,-171.7899933
0,2,0,-239,36,8186,-90,-13,117,0.150000006,-1.950000048,-171.8000031
0,0,0,-246,32,8185,-86,-11,133,0.159999996,-1.960000038,-171.7899933
0,0,2,-301,28,8182,-86,-9,121,0.159999996,-1.980000019,-171.8200073
0,0,0,-379,46,8183,-91,-2,126,0.159999996,-1.99000001,-171.8200073
0,0,0,-371,40,8192,-79,-8,122,0.150000006,-1.970000029,-171.8399963
0,-1,0,-318,29,8201,-86,-3,121,0.150000006,-1.940000057,-171.8399963
0,2,0,-272,32,8186,-86,-3,121,0.150000006,-1.960000038,-171.8399963
0,2,0,-272,35,8182,-86,-7,123,0.140000001,-2,-171.8600006
0,0,1,-295,45,8184,-86,-7,123,0.129999995,-1.99000001,-171.8800049
0,1,0,-326,55,8190,-93,-8,120,0.129999995,-1.99000001,-171.8800049
0,1,0,-354,37,8189,-93,-8,120,0.129999995,-1.99000001,-171.8800049
0,-1,0,-332,27,8187,-93,-17,120,0.129999995,-1.950000048,-171.8699951
0,2,0,-296,44,8188,-87,-8,126,0.129999995,-1.960000038,-171.9100037
0,0,1,-296,57,8182,-87,-8,124,0.129999995,-1.950000048,-171.9499969
0,0,0,-233,45,8183,-90,-9,121,0.129999995,-1.950000048,-171.9499969
0,1,0,-209,4,8185,-91,-17,126,0.119999997,-1.960000038,-171.9299927
0,1,0,-313,49,8198,-88,-7,123,0.119999997,-1.960000038,-171.9299927
0,-1,0,-302,82,8199,-86,-7,123,0.119999997,-1.960000038,-171.9499969
0,2,0,-190,-6,8172,-85,-11,122,0.119999997,-2,-171.9499969
0,1,0,-242,5,8180,-85,-14,122,0.119999997,-2.029999971,-171.9400024
0,0,0,-383,52,8213,-92,-7,123,0.119999997,-2.00999999,-171.9600067
0,-2,0,-377,39,8208,-89,-8,128,0.119999997,-1.980000019,-171.9600067
0,1,-1,-246,14,8165,-90,-18,127,0.119999997,-2.00999999,-171.9199982
0,3,0,-193,53,8159,-87,-14,122,0.119999997,-2.049999952,-171.8999939
0,2,0,-233,79,8175,-89,-12,126,0.140000001,-2.099999905,-171.8999939
0,2,0,-327,-8,8183,-96,-9,125,0.159999996,-2.130000114,-171.8899994
0,3,0,-392,5,8170,-81,-10,128,0.159999996,-2.210000038,-171.9199982
0,2,3,-408,62,8183,-86,-9,119,0.150000006,-2.25999999,-171.9900055
0,1,2,-280,3,8231,-93,-12,126,0.170000002,-2.319999933,-172.0299988
1,3,0,-82,-59,8207,-83,-12,124,0.200000003,-2.400000095,-171.9900055
3,8,-5,91,-93,8238,-87,-14,118,0.25,-2.549999952,-171.8800049
5,10,-3,22,-246,8344,-86,-9,121,0.360000014,-2.75,-171.8099976
5,8,-4,-218,-206,8408,-85,-10,124,0.460000008,-2.900000095,-171.7200012
5,7,-3,-414,84,8341,-88,-17,125,0.569999993,-3.049999952,-171.6399994
6,8,-5,-519,108,8203,-82,-14,119,0.699999988,-3.180000067,-171.5200043
6,7,-8,-642,-16,8131,-83,-14,114,0.829999983,-3.329999924,-171.3399963
6,8,-7,-715,-55,8031,-83,-16,114,0.959999979,-3.460000038,-171.1699982
5,5,-6,-757,97,8112,-85,-4,120,1.059999943,-3.569999933,-171.0500031
5,3,-2,-824,219,8275,-85,-4,120,1.169999957,-3.539999962,-171.0099945
6,-1,1,-830,158,8404,-88,-20,117,1.309999943,-3.470000029,-171.0200043
10,-1,0,-768,-96,8418,-86,-19,117,1.519999981,-3.430000067,-171.0299988
10,-1,1,-806,-256,8345,-83,-8,122,1.730000019,-3.380000114,-171.0500031
10,-5,3,-780,-207,8334,-88,-3,125,1.950000048,-3.289999962,-171.1199951
14,-4,2,-546,-113,8422,-85,-12,118,2.25,-3.220000029,-171.1699982
16,-3,3,-437,-96,8440,-84,-11,121,2.589999914,-3.170000076,-171.2400055
18,-4,3,-464,-94,8396,-84,-11,121,2.950000048,-3.099999905,-171.2899933
19,-4,2,-501,48,8317,-83,-20,116,3.339999914,-3.00999999,-171.3000031
21,-2,0,-387,215,8257,-83,-20,116,3.769999981,-2.940000057,-171.2700043
21,-4,-1,-267,346,8207,-88,-17,125,4.190000057,-2.859999895,-171.2100067
20,-2,-2,-228,384,8154,-88,-17,125,4.610000134,-2.819999933,-171.1300049
18,-4,-4,-249,434,8113,-83,-8,112,5,-2.779999971,-171.0200043
20,-2,-4,-285,513,8067,-83,-8,112,5.400000095,-2.779999971,-170.9199982
21,1,-3,-285,589,8121,-85,-23,112,5.820000172,-2.849999905,-170.8300018
23,2,-4,-310,668,8180,-85,-10,114,6.269999981,-2.920000076,-170.75
26,5,-4,-310,774,8301,-76,-5,108,6.78000021,-3.00999999,-170.6799927
27,0,-2,-361,877,8338,-85,-11,115,7.329999924,-3.019999981,-170.6399994
27,0,0,-485,921,8279,-89,-10,116,7.889999866,-3,-170.6499939
27,0,1,-674,941,8166,-83,-16,112,8.470000267,-3,-170.6799927
29,0,1,-763,959,8147,-83,-16,110,9.069999695,-3,-170.7100067
29,0,5,-739,1114,8106,-82,-15,111,9.670000076,-2.99000001,-170.7899933
29,-1,4,-675,1358,8022,-86,-18,107,10.27000046,-2.920000076,-170.8699951
29,-2,6,-591,1451,7992,-78,-19,111,10.85000038,-2.839999914,-170.9799957
30,3,6,-428,1351,7953,-79,-18,115,11.46000004,-2.849999905,-171.1300049
27,2,8,-405,1410,7892,-84,-17,113,12.02000046,-2.819999933,-171.2899933
25,0,9,-556,1700,7858,-75,-24,108,12.52999973,-2.779999971,-171.4700012
21,-1,8,-585,1843,7770,-80,-17,107,12.98999977,-2.74000001,-171.6399994
21,0,9,-481,2039,7826,-85,-20,96,13.43000031,-2.690000057,-171.8300018
23,0,9,-281,2158,7843,-82,-26,105,13.89999962,-2.650000095,-172.0299988
23,3,11,-137,2104,7773,-78,-13,105,14.38000011,-2.650000095,-172.2599945
21,4,10,-305,2277,7815,-71,-16,114,14.80000019,-2.670000076,-172.4900055
20,6,11,-479,2289,7751,-85,-16,114,15.22000027,-2.710000038,-172.75
19,4,15,-478,2200,7750,-85,-16,114,15.64000034,-2.730000019,-173.0800018
21,7,16,-365,2236,7912,-78,-13,101,16.07999992,-2.799999952,-173.4199982
19,4,16,-467,2286,7824,-80,-14,101,16.47999954,-2.799999952,-173.7700043
17,1,16,-621,2376,7724,-83,-16,104,16.85000038,-2.720000029,-174.1000061
18,2,16,-534,2497,7790,-86,-16,104,17.20999908,-2.670000076,-174.4100037
20,3,13,-321,2548,7843,-73,-20,100,17.61000061,-2.640000105,-174.6799927
21,0,12,-242,2550,7791,-83,-18,106,18.02000046,-2.549999952,-174.9100037
19,-2,8,-281,2630,7723,-83,-20,112,18.39999962,-2.450000048,-175.0599976
17,-1,5,-228,2736,7678,-79,-20,96,18.75,-2.359999895,-175.1399994
14,-6,2,-24,2820,7669,-79,-20,96,19.07999992,-2.24000001,-175.1100006
15,-5,-4,126,2814,7648,-78,-25,99,19.40999985,-2.160000086,-175
14,-5,-5,75,2868,7608,-78,-25,99,19.72999954,-2.099999905,-174.8600006
14,-2,-5,0,2940,7586,-74,-21,99,20.03000069,-2.099999905,-174.7400055
14,1,-6,-97,2996,7563,-90,-20,101,20.32999992,-2.160000086,-174.6300049
13,1,-4,-234,3010,7567,-75,-20,106,20.60000038,-2.200000048,-174.5500031
13,1,-1,-386,2984,7621,-80,-13,99,20.86000061,-2.24000001,-174.5200043
14,1,-1,-584,2976,7619,-76,-21,107,21.12999916,-2.25,-174.4900055
13,0,1,-626,2994,7637,-79,-18,96,21.38999939,-2.24000001,-174.5
14,1,3,-516,3035,7700,-76,-25,97,21.68000031,-2.220000029,-174.5599976
14,0,2,-455,3050,7632,-86,-17,105,21.96999931,-2.190000057,-174.6199951
14,-1,5,-512,3047,7617,-79,-24,98,22.26000023,-2.109999895,-174.6999969
14,0,7,-490,3024,7601,-73,-24,96,22.55999947,-2.049999952,-174.8300018
14,0,7,-338,3037,7629,-79,-16,96,22.86000061,-1.99000001,-174.9900055
16,2,7,-208,3041,7657,-80,-24,96,23.20000076,-1.970000029,-175.1399994
17,2,5,-160,3071,7630,-73,-16,106,23.55999947,-1.950000048,-175.25
16,1,3,-165,3124,7592,-74,-17,100,23.90999985,-1.950000048,-175.3300018
18,0,2,-234,3161,7580,-77,-20,94,24.29000092,-1.950000048,-175.3699951
19,-1,0,-238,3233,7574,-89,-24,103,24.68000031,-1.909999967,-175.3600006
19,-1,-2,-147,3318,7524,-78,-25,99,25.09000015,-1.889999986,-175.2899933
19,-1,-5,-84,3395,7435,-76,-27,107,25.47999954,-1.889999986,-175.1699982
19,-2,-6,-125,3483,7370,-80,-24,102,25.85000038,-1.889999986,-175.0299988
18,-2,-5,-254,3634,7326,-82,-28,97,26.20999908,-1.879999995,-174.9100037
17,-2,-3,-337,3732,7286,-77,-24,104,26.56999969,-1.870000005,-174.8300018
17,1,-1,-348,3772,7257,-78,-19,95,26.92000008,-1.899999976,-174.8099976
16,-1,0,-400,3807,7243,-78,-17,101,27.26000023,-1.870000005,-174.8099976
16,-1,1,-455,3854,7244,-78,-17,101,27.60000038,-1.820000052,-174.8300018
16,-1,4,-410,3890,7254,-83,-20,98,27.93000031,-1.75999999,-174.8800049
16,0,3,-324,3906,7249,-83,-20,98,28.26000023,-1.700000048,-174.9199982
16,0,4,-337,3938,7207,-80,-28,107,28.57999992,-1.639999986,-174.9799957
15,-1,3,-325,3990,7168,-80,-28,107,28.87999916,-1.580000043,-175.0200043
14,-3,2,-244,4040,7154,-72,-29,109,29.17000008,-1.49000001,-175.0299988
14,-2,1,-186,4057,7150,-71,-30,94,29.45999908,-1.419999957,-175.0399933
14,0,1,-181,4067,7134,-75,-33,98,29.76000023,-1.370000005,-175.0599976
13,-1,2,-162,4112,7095,-82,-31,106,30.04000092,-1.330000043,-175.0800018
14,0,2,-121,4188,7074,-79,-29,102,30.31999969,-1.299999952,-175.1199951
13,0,2,-118,4227,7047,-78,-28,95,30.59000015,-1.25999999,-175.1499939
13,0,1,-138,4263,6998,-76,-32,101,30.86000061,-1.24000001,-175.1900024
12,-1,1,-135,4318,6981,-78,-28,95,31.10000038,-1.220000029,-175.1900024
11,0,0,-125,4335,6985,-81,-30,97,31.32999992,-1.210000038,-175.1799927
11,-3,-1,-135,4346,6992,-78,-30,96,31.55999947,-1.169999957,-175.1399994
10,-3,-1,-162,4365,6968,-85,-32,99,31.77000046,-1.129999995,-175.0899963
10,-4,-1,-192,4419,6944,-74,-30,100,31.96999931,-1.090000033,-175.0200043
9,-3,-2,-199,4495,6914,-71,-24,100,32.15999985,-1.070000052,-174.9600067
9,0,-1,-186,4538,6879,-75,-28,100,32.34000015,-1.049999952,-174.9199982
8,0,-1,-163,4542,6874,-80,-33,112,32.5,-1.070000052,-174.9199982
7,1,0,-147,4552,6856,-75,-33,106,32.65000153,-1.090000033,-174.9299927
6,1,1,-187,4583,6820,-80,-28,105,32.79000092,-1.100000024,-174.9700012
5,0,2,-220,4592,6825,-77,-34,107,32.91999817,-1.090000033,-175.0099945
5,0,1,-231,4559,6852,-79,-34,107,33.02000046,-1.090000033,-175.0299988
5,0,2,-229,4522,6865,-79,-32,103,33.11999893,-1.049999952,-175.0599976
5,-2,2,-201,4542,6878,-76,-27,99,33.22999954,-0.99000001,-175.0599976
4,0,0,-147,4580,6868,-80,-26,107,33.33000183,-0.959999979,-175.0599976
4,0,0,-84,4556,6843,-77,-30,101,33.43000031,-0.939999998,-175.0399933
3,-1,0,-66,4553,6845,-85,-28,97,33.50999832,-0.910000026,-175.0399933
4,0,0,-84,4586,6845,-80,-33,100,33.59000015,-0.910000026,-175.0399933
3,0,0,-107,4619,6846,-80,-33,104,33.66999817,-0.910000026,-175.0299988
3,-1,-1,-131,4632,6823,-76,-30,107,33.72999954,-0.899999976,-174.9900055
3,-1,-1,-152,4655,6793,-78,-25,101,33.79999924,-0.879999995,-174.9400024
1,0,-1,-156,4691,6767,-81,-30,105,33.84000015,-0.879999995,-174.9100037
1,0,-1,-151,4699,6772,-80,-31,103,33.86999893,-0.879999995,-174.8800049
1,1,0,-148,4700,6762,-72,-27,109,33.88999939,-0.879999995,-174.8800049
0,2,0,-159,4711,6751,-79,-29,102,33.90000153,-0.899999976,-174.8899994
0,0,0,-145,4719,6758,-82,-29,98,33.90999985,-0.910000026,-174.9100037
0,0,0,-118,4721,6777,-75,-38,99,33.90999985,-0.910000026,-174.9400024
0,0,0,-144,4687,6795,-77,-31,106,33.88999939,-0.899999976,-174.9400024
0,0,0,-166,4649,6802,-75,-28,104,33.86999893,-0.910000026,-174.9600067
0,0,2,-146,4612,6815,-75,-28,104,33.84999847,-0.879999995,-175
-1,0,1,-124,4600,6827,-74,-32,105,33.81999969,-0.870000005,-175.0299988
-1,0,0,-119,4594,6840,-74,-32,105,33.79999924,-0.899999976,-175.0299988
-1,3,0,-130,4566,6842,-84,-33,102,33.77999878,-0.930000007,-175.0500031
0,0,0,-142,4537,6867,-84,-33,102,33.75999832,-0.930000007,-175.0500031
0,1,0,-139,4515,6898,-77,-31,98,33.74000168,-0.939999998,-175.0500031
0,2,0,-158,4507,6901,-77,-31,98,33.74000168,-0.949999988,-175.0399933
0,1,-1,-171,4507,6894,-79,-29,110,33.74000168,-0.970000029,-175.0200043
0,-1,0,-171,4507,6895,-81,-30,107,33.74000168,-0.970000029,-175.0099945
0,-1,0,-177,4514,6902,-79,-34,107,33.74000168,-0.959999979,-175.0099945
1,1,0,-169,4520,6891,-80,-36,100,33.75999832,-0.959999979,-175.0200043
0,0,1,-161,4529,6880,-82,-35,100,33.77999878,-0.949999988,-175.0299988
0,0,0,-159,4544,6858,-75,-31,110,33.79999924,-0.930000007,-175.0200043
1,1,0,-150,4559,6856,-76,-32,99,33.81999969,-0.939999998,-175.0099945
0,0,0,-138,4569,6854,-74,-29,106,33.84000015,-0.920000017,-175.0099945
0,0,0,-147,4575,6845,-79,-32,101,33.86000061,-0.920000017,-175.0099945
0,1,0,-158,4575,6852,-78,-35,102,33.88000107,-0.949999988,-175.0299988
1,0,0,-141,4581,6846,-73,-35,104,33.90000153,-0.949999988,-175.0299988
0,0,0,-138,4579,6842,-76,-30,105,33.91999817,-0.949999988,-175.0299988
0,1,0,-156,4586,6838,-79,-34,103,33.93999863,-0.970000029,-175.0299988
1,0,0,-165,4611,6818,-77,-29,102,33.97000122,-0.939999998,-175.0200043
1,0,0,-164,4640,6813,-78,-33,98,33.99000168,-0.949999988,-175.0200043
0,0,0,-155,4648,6815,-83,-34,107,34,-0.949999988,-175
0,0,0,-165,4642,6806,-75,-26,110,34,-0.939999998,-175
1,0,0,-167,4642,6808,-78,-35,104,34.00999832,-0.949999988,-175
0,1,0,-132,4660,6798,-77,-24,104,34,-0.980000019,-175.0200043
-1,1,1,-117,4667,6800,-77,-24,104,33.97999954,-0.99000001,-175.0500031
0,1,1,-129,4640,6824,-78,-28,99,33.95999908,-0.99000001,-175.0700073
0,0,1,-143,4609,6825,-80,-28,99,33.95000076,-0.980000019,-175.1000061
0,0,0,-157,4602,6826,-73,-38,101,33.93999863,-0.970000029,-175.1100006
0,-1,0,-168,4586,6855,-73,-36,104,33.93000031,-0.959999979,-175.1199951
0,1,0,-154,4545,6892,-84,-33,102,33.90999985,-0.980000019,-175.1300049
0,0,0,-148,4535,6892,-80,-33,98,33.90000153,-0.959999979,-175.1300049
0,0,0,-147,4551,6872,-70,-36,99,33.90000153,-0.959999979,-175.1399994
0,0,0,-132,4566,6867,-77,-31,98,33.90999985,-0.949999988,-175.1300049
0,2,0,-121,4562,6866,-77,-31,98,33.91999817,-0.970000029,-175.1499939
1,0,0,-128,4565,6845,-71,-35,106,33.93999863,-0.980000019,-175.1499939
